id	vial	female	male	day	eggs	failure		
375	229	val	val	3	12	0		
376	233	val	val	3	19	0		
377	234	val	val	3	20	0		
378	236	val	val	3	11	0		
379	242	val	val	3	27	0		
380	244	val	val	3	33	0		
381	246	val	val	3	31	0		
382	247	val	val	3	31	0		
383	250	val	val	3	8	0		
384	251	iv	lhm	3	14	0		
385	252	iv	lhm	3	10	0		
386	254	iv	lhm	3	10	0		
387	255	iv	lhm	3	7	0		
388	256	iv	lhm	3	14	0		
389	257	iv	lhm	3	8	0		
390	259	iv	lhm	3	5	0		
391	268	iv	lhm	3	24	0		
392	269	iv	lhm	3	0	0		
393	278	dhm	lhm	3	16	0		
394	282	dhm	lhm	3	17	0		
395	287	dhm	lhm	3	dead_F	1		
396	291	dhm	lhm	3	23	0		
397	292	dhm	lhm	3	17	0		
398	302	dhm	val	3	0	0		
399	303	dhm	val	3	24	0		
400	305	dhm	val	3	20	0		
401	306	dhm	val	3	1	0		
402	307	dhm	val	3	31	0		
403	309	dhm	val	3	25	0		
404	316	dhm	val	3	21	0		
405	317	dhm	val	3	25	0		
406	320	dhm	val	3	23	0		
407	325	dhm	val	3	0	1		
408	326	iv	val	3	22	0		
409	327	iv	val	3	15	0		
410	328	iv	val	3	0	0		
411	329	iv	val	3	12	0		
412	330	iv	val	3	0	0		
413	335	iv	val	3	9	0		
414	339	iv	val	3	18	0		
415	340	iv	val	3	14	0		
416	341	iv	val	3	14	0		
417	342	iv	val	3	dead_F	1		
418	343	iv	val	3	no_female	1		
419	351	lhm	val	3	19	0		
420	353	lhm	val	3	17	0		
421	354	lhm	val	3	13	0		
422	357	lhm	val	3	18	0		
423	358	lhm	val	3	22	0		
424	361	lhm	val	3	18	0		
425	367	lhm	val	3	18	0		
426	368	lhm	val	3	17	0		
427	372	lhm	val	3	18	0		
428	373	lhm	val	3	25	0		
429	376	val	lhm	3	24	0		
430	377	val	lhm	3	19	0		
431	379	val	lhm	3	38	0		
432	382	val	lhm	3	26	0		
433	383	val	lhm	3	24	0		
434	385	val	lhm	3	19	0		
435	391	val	lhm	3	18	0		
436	392	val	lhm	3	17	0		
437	393	val	lhm	3	13	0		
438	394	val	lhm	3	11	0		
439	1	iv	iv	4	13	0		
440	6	iv	iv	4	24	0		
441	7	iv	iv	4	6	0		
442	8	iv	iv	4	16	0		
443	11	iv	iv	4	16	0		
444	12	iv	iv	4	0	0		
445	13	iv	iv	4	10	0		
446	14	iv	iv	4	20	0		
447	18	iv	iv	4	15	0		
448	21	iv	iv	4	34	2		
449	28	dhm	dhm	4	25	0		
450	31	dhm	dhm	4	24	2		
451	34	dhm	dhm	4	0	0		
452	36	dhm	dhm	4	24	0		
453	37	dhm	dhm	4	19	0		
454	39	dhm	dhm	4	25	0		
455	40	dhm	dhm	4	21	0		
456	41	dhm	dhm	4	13	0		
457	42	dhm	dhm	4	dead_F	1		
458	45	dhm	dhm	4	23	0		
459	52	dhm	iv	4	25	0		
460	57	dhm	iv	4	42	2		
461	58	dhm	iv	4	1	0		
462	59	dhm	iv	4	23	0		
463	61	dhm	iv	4	13	0		
464	64	dhm	iv	4	12	0		
465	65	dhm	iv	4	27	0		
466	69	dhm	iv	4	0	0		
467	70	dhm	iv	4	25	0		
468	71	dhm	iv	4	24	0		
469	76	val	dhm	4	21	0		
470	78	val	dhm	4	29	0		
471	79	val	dhm	4	21	0		
472	80	val	dhm	4	27	0		
473	81	val	dhm	4	28	0		
474	84	val	dhm	4	23	0		
475	87	val	dhm	4	36	0		
476	88	val	dhm	4	23	0		
477	93	val	dhm	4	24	0		
478	94	val	dhm	4	27	0		
479	101	lhm	dhm	4	15	0		
480	105	lhm	dhm	4	12	0		
481	106	lhm	dhm	4	2	0		
482	109	lhm	dhm	4	19	0		
483	111	lhm	dhm	4	22	0		
484	112	lhm	dhm	4	21	0		
485	115	lhm	dhm	4	4	0		
486	117	lhm	dhm	4	13	0		
487	119	lhm	dhm	4	17	0		
488	127	val	iv	4	35	0		
489	128	val	iv	4	dead_F	1		
490	129	val	iv	4	37	0		
491	130	val	iv	4	15	0		
492	133	val	iv	4	13	0		
493	136	val	iv	4	25	0		
494	134	val	iv	4	22	0		
495	142	val	iv	4	7	0		
496	146	val	iv	4	26	0		
497	151	lhm	iv	4	20	0		
498	152	lhm	iv	4	22	0		
499	163	lhm	iv	4	15	0		
500	177	iv	dhm	4	16	0		
501	180	iv	dhm	4	20	0		
502	182	iv	dhm	4	0	0		
503	183	iv	dhm	4	20	0		
504	184	iv	dhm	4	19	0		
505	186	iv	dhm	4	14	0		
506	190	iv	dhm	4	14	0		
507	191	iv	dhm	4	22	0		
508	195	iv	dhm	4	24	0		
509	196	iv	 dhm	4	19	0		
510	201	lhm	lhm	4	22	0		
511	202	lhm	lhm	4	20	0		
512	204	lhm	lhm	4	12	0		
513	206	lhm	lhm	4	23	0		
514	207	lhm	lhm	4	7	0		
515	209	lhm	lhm	4	16	0		
516	212	lhm	lhm	4	6	0		
517	215	lhm	lhm	4	18	0		
518	216	lhm	lhm	4	14	0		
519	217	lhm	lhm	4	0	0		
520	227	val	val	4	11	0		
521	229	val	val	4	36	0		
522	233	val	val	4	21	0		
523	234	val	val	4	0	0		
524	236	val	val	4	23	0		
525	242	val	val	4	28	0		
