vial	day	female	male	mated	eggs	total_emerged	prop_eggs_emerged	failure									
52	2	dhm	iv	1	15	12	0.8	0									
57	2	dhm	iv	1	24	22	0.916666667	0									
58	2	dhm	iv	1	0	0	#DIV/0!	1									
59	2	dhm	iv	1	17	15	0.882352941	0									
61	2	dhm	iv	1	9	9	1	0									
64	2	dhm	iv	1	10	11	1.1	0									
65	2	dhm	iv	1	21	19	0.904761905	0									
69	2	dhm	iv	1	8	8	1	0									
70	2	dhm	iv	1	15	16	1.066666667	0									
71	2	dhm	iv	1	34	12	0.352941176	0									
76	2	val	dhm	1	15	16	1.066666667	0									
78	2	val	dhm	1	17	17	1	0									
79	2	val	dhm	1	19	16	0.842105263	0									
80	2	val	dhm	1	14	14	1	0									
81	2	val	dhm	1	11	10	0.909090909	0									
84	2	val	dhm	1	20	20	1	0									
87	2	val	dhm	1	16	16	1	0									
88	2	val	dhm	1	13	14	1.076923077	0									
93	2	val	dhm	1	10	10	1	0									
94	2	val	dhm	1	24	29	1.208333333	0									
101	2	lhm	dhm	1	14	11	0.785714286	0									
105	2	lhm	dhm	1	17	12	0.705882353	0									
106	2	lhm	dhm	1	9	8	0.888888889	0									
109	2	lhm	dhm	1	21	25	1.19047619	0									
111	2	lhm	dhm	1	17	18	1.058823529	0									
112	2	lhm	dhm	1	17	16	0.941176471	0									
115	2	lhm	dhm	1	13	16	1.230769231	0									
117	2	lhm	dhm	1	14	10	0.714285714	0									
119	2	lhm	dhm	1	9	5	0.555555556	0									
127	2	val	iv	1	21	24	1.142857143	0									
128	2	val	iv	1	13	13	1	0									
129	2	val	iv	1	22	21	0.954545455	0									
130	2	val	iv	1	14	16	1.142857143	0									
133	2	val	iv	1	14	13	0.928571429	0									
136	2	val	iv	1	20	18	0.9	0									
134	2	val	iv	1	11	12	1.090909091	0									
142	2	val	iv	1	15	14	0.933333333	0									
146	2	val	iv	1	18	22	1.222222222	0									
149	2	val	iv	1		0	#DIV/0!	1									
150	2	val	iv	1		0	#DIV/0!	1									
151	2	lhm	iv	1	19	20	1.052631579	0									
152	2	lhm	iv	1	19	21	1.105263158	0									
163	2	lhm	iv	1	11	10	0.909090909	0									
175	2	lhm	iv	1		0	#DIV/0!	1									
177	2	iv	dhm	1	6	7	1.166666667	0									
180	2	iv	dhm	1	10	8	0.8	0									
182	2	iv	dhm	1	0	0	#DIV/0!	1									
183	2	iv	dhm	1	2	2	1	0									
184	2	iv	dhm	1	10	8	0.8	0									
186	2	iv	dhm	1	3	3	1	0									
190	2	iv	dhm	1	15	8	0.533333333	0									
191	2	iv	dhm	1	6	5	0.833333333	0									
195	2	iv	dhm	1	6	3	0.5	0									
196	2	iv	 dhm	1	0	0	#DIV/0!	1									
201	2	lhm	lhm	1	25	21	0.84	0									
202	2	lhm	lhm	1	9	8	0.888888889	0									
204	2	lhm	lhm	1	15	9	0.6	0									
206	2	lhm	lhm	1	3	9	3	0									
