id	female	male	mated	dnm	failure	mating_duration	latency										
94	val	dhm	1	0	0	20.41	99.0064										
95	val	dhm	1	0	0	14.97	98.9612										
96	val	dhm	1	0	0	14.04	68.016										
97	val	dhm	0	1	0	0.00	-17.4992										
98	val	dhm	1	0	0	12.78	31.7256										
99	val	dhm	1	0	0	15.63	14.5604										
100	val	dhm	1	0	0	16.35	31.2752										
101	lhm	dhm	1	0	0	17.27	77.6408										
102	lhm	dhm	1	0	0	16.05	53.7816										
103	lhm	dhm	1	0	0	11.70	16.5824										
104	lhm	dhm	1	0	0	11.05	16.4132										
105	lhm	dhm	1	0	0	13.00	12.004										
106	lhm	dhm	1	0	0	18.64	99.0948										
107	lhm	dhm	1	0	0	13.89	62.5456										
108	lhm	dhm	1	0	0	14.06	38.7064										
109	lhm	dhm	1	0	0	18.21	152.1372										
110	lhm	dhm	1	0	0	13.00	14.948										
111	lhm	dhm	1	0	0	20.25	20.0988										
112	lhm	dhm	0	1	0	0.00	-20.3904										
113	lhm	dhm	1	0	0	14.19	67.7404										
114	lhm	dhm	1	0	0	21.20	142.4212										
115	lhm	dhm	1	0	0	16.46	28.232										
116	lhm	dhm	1	0	0	17.39	57.9728										
117	lhm	dhm	0	1	0	0.00	-21.2364										
118	lhm	dhm	1	0	0	12.66	46.0044										
119	lhm	dhm	1	0	0	14.94	11.4852										
120	lhm	dhm	1	0	0	15.73	52.776										
121	lhm	dhm	1	0	0	17.22	14.4168										
122	lhm	dhm	1	0	0	17.89	21.2776										
123	lhm	dhm	1	0	0	20.99	115.0384										
124	lhm	dhm	1	0	0	9.14	43.5792										
125	lhm	dhm	1	0	0	20.67	141										
126	val	iv	1	0	0	24.77	101.89										
127	val	iv	1	0	0	16.68	36.0212										
128	val	iv	1	0	0	22.36	129.4524										
129	val	iv	1	0	0	18.55	41.2036										
130	val	iv	1	0	0	21.17	17.4048										
131	val	iv	1	0	0	31.08	146.406										
132	val	iv	0	1	0	0.00	-25.2428										
133	val	iv	1	0	0	24.94	163.1684										
134	val	iv	1	0	0	19.08	43.5596										
135	val	iv	0	1	0	0.00	-25.6892										
136	val	iv	1	0	0	29.71	106.572										
137	val	iv	1	0	0	26.45	15.5632										
138	val	iv	1	0	0	23.86	169.1244										
139	val	iv	1	0	0	27.09	120.8756										
140	val	iv	0	1	0	0.00	-26.4332										
141	val	iv	0	1	0	0.00	-26.582										
142	val	iv	0	1	0	0.00	-26.7308										
143	val	iv	1	0	0	22.00	23.6004										
144	val	iv	1	0	0	17.01	36.0316										
145	val	iv	1	0	0	22.70	25.2628										
146	val	iv	1	0	0	24.09	25.084										
147	val	iv	0	1	0	0.00	-27.4748										
148	val	iv	1	0	0	20.11	60.5564										
149	val	iv	1	0	0	17.93	62.4776										
150	val	iv	1	0	0	22.16	42.3788										
151	lhm	iv	1	0	0	20.31	12.58										
152	lhm	iv	1	0	0	20.15	12.484										
153	lhm	iv	1	0	0	26.81	30.63										
154	lhm	iv	1	0	0	18.98	25.51										
155	lhm	iv	1	0	0	21.69	133.37										
156	lhm	iv	1	0	0	28.69	63.07										
157	lhm	iv	1	0	0	20.29	45.77										
158	lhm	iv	1	0	0	16.99	15.59										
159	lhm	iv	1	0	0	17.67	29.79										
160	lhm	iv	1	0	0	21.05	44.5										
161	lhm	iv	1	0	0	24.28	102.1										
162	lhm	iv	1	0	0	18.04	60.03										
163	lhm	iv	0	1	0	0.00	-30.38										
164	lhm	iv	1	0	0	26.30	25.46										
165	lhm	iv	1	0	0	29.89	139.48										
166	lhm	iv	0	1	0	0.00	-30.86										
167	lhm	iv	1	0	0	16.64	32.5										
168	lhm	iv	1	0	0	20.88	52.41										
169	lhm	iv	0	1	0	0.00	-31.34										
170	lhm	iv	1	0	0	26.11	97.83										
171	lhm	iv	0	1	0	0.00	-31.66										
172	lhm	iv	1	0	0	19.89	109.46										
173	lhm	iv	0	1	0	0.00	-31.98										
174	lhm	iv	0	1	0	0.00	-32.14										
175	lhm	iv	1	0	0	24.02	83.11										
176	iv	dhm	1	0	0	16.15	106.29										
177	iv	dhm	1	0	0	11.41	36.8604										
178	iv	dhm	1	0	0	13.35	64.9108										
179	iv	dhm	1	0	0	26.12	91.6712										
180	iv	dhm	1	0	0	24.17	135.4416										
181	iv	dhm	1	0	0	8.31	38.442										
182	iv	dhm	1	0	0	12.04	39.5624										
183	iv	dhm	0	1	0	0.00	-33.9772										
184	iv	dhm	1	0	0	18.84	24.0432										
185	iv	dhm	1	0	0	21.27	36.0436										
186	iv	dhm	1	0	0	17.33	11.794										
187	iv	dhm	1	0	0	17.64	85.9644										
188	iv	dhm	1	0	0	18.35	10.4948										
189	iv	dhm	1	0	0	11.84	14.7352										
190	iv	dhm	1	0	0	16.21	53.3456										
191	iv	dhm	1	0	0	18.03	173.276										
192	iv	dhm	1	0	0	12.58	9.2764										
193	iv	dhm	1	0	0	20.17	36.6268										
194	iv	dhm	1	0	0	15.71	53.8672										
195	iv	dhm	1	0	0	21.90	76.6076										
196	iv	dhm	1	0	0	16.08	46.418										
197	iv	dhm	1	0	0	18.33	39.2084										
198	iv	dhm	1	0	0	16.47	56.9288										
